Date,State,18+ Dose 1,18+ Dose 2,18+ Total Doses,15-18 Dose 1,15-18 Dose 2,15-18 Total Doses,12-14 Dose 1,12-14 Dose 2,12-14 Total Doses,18-59 Booster Dose,60+ Booster Dose,Booster Total Doses,Total Doses,Week,Month,Year
2021-03-03,Jammu & Kashmir,262045,18096,280141,0,0,0,0,0,0,0,0,0,280141,WK 09-2021,Mar-2021,2021
2021-03-03,Jharkhand,295125,32454,327579,0,0,0,0,0,0,0,0,0,327579,WK 09-2021,Mar-2021,2021
2021-03-03,Karnataka,619620,216730,836350,0,0,0,0,0,0,0,0,0,836350,WK 09-2021,Mar-2021,2021
2021-03-03,Kerala,541951,120762,662713,0,0,0,0,0,0,0,0,0,662713,WK 09-2021,Mar-2021,2021
2021-03-03,Ladakh,9226,829,10055,0,0,0,0,0,0,0,0,0,10055,WK 09-2021,Mar-2021,2021
2021-03-03,Lakshadweep,2413,803,3216,0,0,0,0,0,0,0,0,0,3216,WK 09-2021,Mar-2021,2021
2021-03-03,Madhya Pradesh,671302,183795,855097,0,0,0,0,0,0,0,0,0,855097,WK 09-2021,Mar-2021,2021
2021-03-03,Maharashtra,1100898,184183,1285081,0,0,0,0,0,0,0,0,0,1285081,WK 09-2021,Mar-2021,2021
2021-03-03,Manipur,57280,3116,60396,0,0,0,0,0,0,0,0,0,60396,WK 09-2021,Mar-2021,2021
2021-03-03,Meghalaya,32539,2042,34581,0,0,0,0,0,0,0,0,0,34581,WK 09-2021,Mar-2021,2021
2021-03-03,Mizoram,25374,8092,33466,0,0,0,0,0,0,0,0,0,33466,WK 09-2021,Mar-2021,2021
2021-03-03,Nagaland,31432,5678,37110,0,0,0,0,0,0,0,0,0,37110,WK 09-2021,Mar-2021,2021
